Exercise Name,Male Video Filename,Female Video Filename
Standing Cat Cow Stretch,85121201-Standing-Cat-Cow-Stretch-(male)_Stretching_.mp4,90631201-Standing-Cat-Cow-Stretch-(female)_Stretching_.mp4
Standing Chest Cross Stretch,97071201-Standing-Chest-Cross-Stretch-(male)_Stretching_.mp4,94271201-Standing-Chest-Cross-Stretch-(female)_Stretching_.mp4
Standing Elbow Clap,55001201-Standing-Elbow-Clap-(male)_Chest_.mp4,53631201-Standing-Elbow-Clap-(female)_Chest_.mp4
Standing Elbow Together Scoop,87401201-Standing-Elbow-Together-Scoop-(male)_Upper-Arms_.mp4,85581201-Standing-Elbow-Together-Scoop-(female)_Upper-Arms_.mp4
Standing Hand Out Cross Kick,89131201-Standing-Hand-Out-Cross-Kick-(male)_Plyometrics_.mp4,84081201-Standing-Hand-Out-Cross-Kick-(female)_Plyometrics_.mp4
Standing Ladder Climb,85551201-Standing-Ladder-Climb-(male)_Plyometrics_.mp4,82761201-Standing-Ladder-Climb-(female)_Plyometrics_.mp4
Standing Lateral Stretch,80601201-Standing-Lateral-Stretch-(male)_Stretching_.mp4,43201201-Standing-Lateral-Stretch-(female)_Back.mp4
Standing Pelvic Tilt,13641201-Standing-Pelvic-Tilt_Back_.mp4,34061201-Standing-Pelvic-Tilt-(female).mp4
Standing Plate Press,12251201-Standing-Plate-Press_Chest_.mp4,107161201-Standing-Plate-Press-(female)_Chest_.mp4
Standing Quadriceps Stretch,10591201-Standing-Quadriceps-Stretch_Thighs_.mp4,83721201-Standing-Quadriceps-Stretch-(female)_Thighs_.mp4
Standing Reach Up Back Rotation Stretch,17961201-Standing-Reach-Up-Back-Rotation-Stretch_Back-FIX_.mp4,43211201-Standing-Reach-Up-Back-Rotation-Stretch-(female)_B.mp4
Standing Rest Pose (Front Pov),83451201-Standing-Rest-Pose-(front-POV)-(male)_Cardio_.mp4,90201201-Standing-Rest-Pose-(front-POV)-(female)_Cardio_.mp4
Standing Russian Twist,97201201-Standing-Russian-Twist-(male)_Plyometrics_.mp4,75801201-Standing-Russian-Twist-(female)_Plyometrics_.mp4
Standing Scapular Rotation,72321201-Standing-Scapular-Rotation-(male)_Back_.mp4,94691201-Standing-Scapular-Rotation-(female)_Chest_.mp4
Standing Scapular Rotation (Back Pov),72321201-Standing-Scapular-Rotation-(back-POV)-(male)_Back_.mp4,72331201-Standing-Scapular-Rotation-(back-POV)-(female)_Back_.mp4
Standing Scapular Rotation (Front Pov),72321201-Standing-Scapular-Rotation-(front-POV)-(male)_Back.mp4,72331201-Standing-Scapular-Rotation-(front-POV)-(female)_Back_.mp4
Standing Shoulders Full Flexion,55071201-Standing-Shoulders-Full-Flexion-(male)_Shoulders_.mp4,53621201-Standing-Shoulders-Full-Flexion-(female)_Shoulders.mp4
Standing Side Bend (Bent Arm),43221201-Standing-Side-Bend-(bent-arm)-(male)_Waist.mp4,32551201-Standing-Side-Bend-(bent-arm)-(female)_Waist.mp4
Standing Side Crunch,58451201-Standing-Side-Crunch-(male)_Waist_.mp4,46471201-Standing-Side-Crunch-(female)_Waist.mp4
Standing Side Crunch Elbow To Knee,54991201-Standing-Side-Crunch-Elbow-to-Knee-(male)_Waist_.mp4,51151201-Standing-Side-Crunch-Elbow-to-Knee-(female)_Waist_.mp4
Standing Side Kick,66701201-Standing-Side-Kick-(male)_Plyometrics_.mp4,59611201-Standing-Side-Kick-(female)_Plyometrics_.mp4
Standing Stacked Arms Lift,87421201-Standing-Stacked-Arms-Lift-(male)_Chest_.mp4,85561201-Standing-Stacked-Arms-Lift-(female)_Chest_.mp4
Standing Top Clap Back Clap,68991201-Standing-Top-Clap-Back-Clap-(male)_Stretching_.mp4,96141201-Standing-Top-Clap-Back-Clap-(female)_Stretching_.mp4
Standing Top Grab Front Grab,82731201-Standing-Top-Grab-Front-Grab-(male)_Chest_.mp4,64461201-Standing-Top-Grab-Front-Grab-(female)_Chest_.mp4
Standing Torso Twist Arms Swing,96531201-Standing-Torso-Twist-Arms-Swing-(male)_Waist_.mp4,95231201-Standing-Torso-Twist-Arms-Swing-(female)_Waist_.mp4
Standing Triceps Stretch Against Wall,98201201-Standing-Triceps-Stretch-against-Wall-(male)_Stret.mp4,82421201-Standing-Triceps-Stretch-against-Wall-(female)_Str.mp4
